domain	intent	parallel	pattern 	 o
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie marzo z hiszpańskiego na włoski przy użyciu google 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie gasolina z hiszpańskiego na francuski przy użyciu microsoft 	 o o o b-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateTextFromLanguageToLanguageWithEngine	False	jakie jest tłumaczenie llamaré la policía z hiszpańskiego na angielski przy użyciu deepl 	 o o o b-text i-text i-text o b-src_lang o b-trg_lang o o b-translator
Translate	TranslateToLanguage	False	tłumacz na tajski 	 o o b-trg_lang
Translate	TranslateToLanguage	False	tłumacz na język czeski 	 o o o b-trg_lang
Translate	TranslateToLanguage	False	przetłumacz na fiński 	 o o b-trg_lang
Translate	TranslateToLanguage	False	tłumaczenie na niemiecki 	 o o b-trg_lang
Translate	TranslateToLanguage	False	tłumaczenie na język hiszpański 	 o o o b-trg_lang
Translate	TranslateToLanguage	False	wykonaj tłumaczenie na tajski 	 o o o b-trg_lang
Translate	TranslateToLanguage	False	wykonaj tłumaczenie na język czeski 	 o o o o b-trg_lang
Translate	TranslateTextFromLanguage	False	tłumacz orange z angielskiego 	 o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie don't touch me z angielskiego 	 o o b-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie how are you z języka angielskiego 	 o o b-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to excuse me z angielskiego 	 o o b-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to the day before yesterday z języka angielskiego 	 o o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz listopad z polskiego 	 o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz potok z języka polskiego 	 o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie proszę z polskiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie kolacja z języka polskiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to gdzie jest szafka na klucz z polskiego 	 o o b-text i-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to jeszcze raz proszę z języka polskiego 	 o o b-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz sinistra z włoskiego 	 o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz non mangio il maiale z języka włoskiego 	 o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie mentre z włoskiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie mi lasci in pace z języka włoskiego 	 o o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to the tea z włoskiego 	 o o b-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to posso semplicemente pagare una multa adesso z języka włoskiego 	 o o b-text i-text i-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz j'ai besoin de shampooing z francuskiego 	 o b-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz fais de beaux reves z języka francuskiego 	 o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie j'ai besoin de crème solaire z francuskiego 	 o o b-text i-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie huitante z języka francuskiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to avez-vous ceci dans ma taille z francuskiego 	 o o b-text i-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to j'ai besoin d'un stylo z języka francuskiego 	 o o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz sie wollen mich abzocken z niemieckiego 	 o b-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz hotels z języka niemieckiego 	 o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie siebzehn z niemieckiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie eine postkarte z języka niemieckiego 	 o o b-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to gibt es hier jemanden der englisch spricht z niemieckiego 	 o o b-text i-text i-text i-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to hilfe z języka niemieckiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz no como carne de vaca z hiszpańskiego 	 o b-text i-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz necesito pasta dentífrico z języka hiszpańskiego 	 o b-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie dorado z hiszpańskiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz zdanie dónde puedo obtener un talón de viajero cambiado z języka hiszpańskiego 	 o o b-text i-text i-text i-text i-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz to cuarenta z hiszpańskiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie please clean my room z angielskiego 	 o o b-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie salad z języka angielskiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to is there a local specialty z angielskiego 	 o o b-text i-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to expensive z języka angielskiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz szynkę z polskiego 	 o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz drugie śniadanie z języka polskiego 	 o b-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie wczoraj z polskiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie zachód z języka polskiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to pięć z polskiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to październik z języka polskiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz notte z włoskiego 	 o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz va bene lo prendo z języka włoskiego 	 o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie mi dispiace z włoskiego 	 o o b-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie avete qualcosa da stuzzicare z języka włoskiego 	 o o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to una soda z włoskiego 	 o o b-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to ho perso la mia borsa z języka włoskiego 	 o o b-text i-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz j'ai besoin d'un analgésique z francuskiego 	 o b-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz police z języka francuskiego 	 o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie au feu z francuskiego 	 o o b-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie j'ai perdu mon portefeuille z języka francuskiego 	 o o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to de la dulse z francuskiego 	 o o b-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to une heure du matin z języka francuskiego 	 o o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz das war ein missverständnis z niemieckiego 	 o b-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz wie heißt du z języka niemieckiego 	 o b-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie dreißig z niemieckiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie morgen z języka niemieckiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to braun z niemieckiego 	 o o b-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to ich brauche einen arzt z języka niemieckiego 	 o o b-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz las frutas z hiszpańskiego 	 o b-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz adónde me llevas z języka hiszpańskiego 	 o b-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie tiene algo para declarar z hiszpańskiego 	 o o b-text i-text i-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz zdanie aerolínea z języka hiszpańskiego 	 o o b-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to muchas gracias z hiszpańskiego 	 o o b-text i-text o b-src_lang
Translate	TranslateTextFromLanguage	False	przetłumacz to cómo puedo llegar a el aeropuerto z języka hiszpańskiego 	 o o b-text i-text i-text i-text i-text i-text o o b-src_lang
Translate	TranslateTextFromLanguage	False	tłumacz z angielskiego zdania you're cheating me 	 o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z angielskiego tego zdania north 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z angielskiego tego gold 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka angielskiego tego zdania is there table service 	 o o o b-src_lang o o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka angielskiego tego do you have any bar snacks 	 o o o b-src_lang o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z polskiego zdania prosto 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z polskiego tego zdania skręć w lewo 	 o o b-src_lang o o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z polskiego tego chleb 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka polskiego zdania nie mówię po polsku 	 o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka polskiego tego zdania rzeka 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka polskiego tego żółty 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z włoskiego zdania settembre 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z włoskiego tego zdania insalata 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z włoskiego tego destra 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka włoskiego zdania venerdì 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka włoskiego tego zdania la birra 	 o o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka włoskiego tego viola 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z francuskiego zdania hebdomadaire 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z francuskiego tego zdania quarante 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z francuskiego tego eau gazeuse 	 o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka francuskiego zdania une pinte s'il vous plait 	 o o o b-src_lang o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka francuskiego tego zdania trois 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka francuskiego tego j'ai besoin de revues en anglais 	 o o o b-src_lang o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z niemieckiego zdania geradeaus 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z niemieckiego tego zdania kann ich eine tüte haben 	 o o b-src_lang o o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z niemieckiego tego könnten sie es bitte nicht so fett machen 	 o o b-src_lang o b-text i-text i-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka niemieckiego zdania januar 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka niemieckiego tego zdania sind noch zimmer frei 	 o o o b-src_lang o o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka niemieckiego tego abendessen or abendbrot 	 o o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z hiszpańskiego zdania octubre 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z hiszpańskiego tego zdania necesito papel para escribir 	 o o b-src_lang o o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z hiszpańskiego tego necesito baterías 	 o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka hiszpańskiego zdania a la una de la tarde 	 o o o b-src_lang o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka hiszpańskiego tego zdania invierno 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumacz z języka hiszpańskiego tego club soda 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z angielskiego zdania purple 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z angielskiego tego zdania the week before last week 	 o o b-src_lang o o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z angielskiego tego shopping 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka angielskiego zdania september 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka angielskiego tego zdania thanks 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka angielskiego tego water 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z polskiego zdania łódź 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z polskiego tego zdania jestem ranny 	 o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z polskiego tego basen 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka polskiego zdania paliwo 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka polskiego tego zdania stacja 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka polskiego tego dzień dobry 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z włoskiego zdania buona sera 	 o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z włoskiego tego zdania meno 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z włoskiego tego certamente 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka włoskiego zdania il vino rosso 	 o o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka włoskiego tego zdania ho finito 	 o o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka włoskiego tego giri a destra 	 o o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z francuskiego zdania c'était délicieux 	 o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z francuskiego tego zdania jaune 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z francuskiego tego soda 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka francuskiego zdania j'ai besoin d'une ombrelle 	 o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka francuskiego tego zdania café 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka francuskiego tego où puis-je changer un traveler's chèque 	 o o o b-src_lang o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z niemieckiego zdania märz 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z niemieckiego tego zdania einen fernseher 	 o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z niemieckiego tego ich kann nicht deutsch sprechen 	 o o b-src_lang o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka niemieckiego zdania danke schön 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka niemieckiego tego zdania tee 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka niemieckiego tego nachmittag 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z hiszpańskiego zdania comida de precio fijo 	 o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z hiszpańskiego tego zdania cuánto tiempo puedo aparcarme aquí 	 o o b-src_lang o o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z hiszpańskiego tego podría usted repetir eso por favor 	 o o b-src_lang o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka hiszpańskiego zdania sirven alcohol 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka hiszpańskiego tego zdania ahora 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	przetłumacz z języka hiszpańskiego tego un millón 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z angielskiego zdania it was a misunderstanding 	 o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z angielskiego tego zdania friday 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z angielskiego tego police 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka angielskiego zdania monday 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka angielskiego tego zdania beans 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka angielskiego tego butter 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z polskiego zdania wyjazd 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z polskiego tego zdania lipiec 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z polskiego tego jutro 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka polskiego zdania potrzebuję parasol 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka polskiego tego zdania dobranoc 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka polskiego tego parówką kiełbasą 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z włoskiego zdania sosta vietata 	 o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z włoskiego tego zdania la prima colazione 	 o o b-src_lang o o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z włoskiego tego salve 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka włoskiego zdania non mangio il manzo 	 o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka włoskiego tego zdania posso prima vedere la stanza 	 o o o b-src_lang o o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka włoskiego tego il succo 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z francuskiego zdania un million 	 o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z francuskiego tego zdania où puis-je faire le change 	 o o b-src_lang o o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z francuskiego tego j'ai besoin an umbrella 	 o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka francuskiego zdania laissez-moi tranquille 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka francuskiego tego zdania une salade 	 o o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka francuskiego tego jeudi 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z niemieckiego zdania wo ist die toilette bitte 	 o o b-src_lang o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z niemieckiego tego zdania schreibpapier 	 o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z niemieckiego tego mitternacht 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka niemieckiego zdania hat das zimmer 	 o o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka niemieckiego tego zdania einen regenschirm 	 o o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka niemieckiego tego batterien 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z hiszpańskiego zdania rojo 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z hiszpańskiego tego zdania okay lo cojo 	 o o b-src_lang o o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z hiszpańskiego tego señora 	 o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka hiszpańskiego zdania aceptan tarjetas de crédito 	 o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka hiszpańskiego tego zdania el pollo 	 o o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	tłumaczenie z języka hiszpańskiego tego auto 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z angielskiego zdania a table for one person please 	 o o o b-src_lang o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z angielskiego tego zdania gray 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z angielskiego tego i need your help 	 o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka angielskiego zdania august 	 o o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka angielskiego tego zdania pink 	 o o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z polskiego zdania sałatkę 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z polskiego tego zdania czy mogę zadzwonić 	 o o o b-src_lang o o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z polskiego tego kwiecień 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka polskiego zdania kurczaka 	 o o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka polskiego tego zdania dziękuję 	 o o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka polskiego tego sto 	 o o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z włoskiego zdania ieri 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z włoskiego tego zdania ho bisogno di libri in inglese 	 o o o b-src_lang o o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z włoskiego tego non posso permettermelo 	 o o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka włoskiego zdania avete questo nella mia taglia 	 o o o o b-src_lang o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka włoskiego tego zdania incrocio 	 o o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka włoskiego tego ho bisogno di una penna 	 o o o o b-src_lang o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z francuskiego zdania quelle heure est-il 	 o o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z francuskiego tego zdania des escargots 	 o o o b-src_lang o o b-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z francuskiego tego s'il vous plaît monsieur 	 o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka francuskiego zdania servez-vous des boissons alcoolisées 	 o o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka francuskiego tego zdania à quelle heure fermez-vous 	 o o o o b-src_lang o o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka francuskiego tego annuel 	 o o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z niemieckiego zdania gerne 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z niemieckiego tego zdania jetzt 	 o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z niemieckiego tego ich habe mich verirrt 	 o o o b-src_lang o b-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka niemieckiego zdania etwas gegen erkältung 	 o o o o b-src_lang o b-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka niemieckiego tego zdania links 	 o o o o b-src_lang o o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka niemieckiego tego ein badezimmer 	 o o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z hiszpańskiego zdania a mediodía 	 o o o b-src_lang o b-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z hiszpańskiego tego zdania cómo puedo llegar a el albergue juvenil 	 o o o b-src_lang o o b-text i-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z hiszpańskiego tego marrón 	 o o o b-src_lang o b-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka hiszpańskiego zdania se dispone de habitaciones libres 	 o o o o b-src_lang o b-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka hiszpańskiego tego zdania cuando es la hora de cerrar 	 o o o o b-src_lang o o b-text i-text i-text i-text i-text i-text
Translate	TranslateTextFromLanguage	False	wykonaj tłumaczenie z języka hiszpańskiego tego abril 	 o o o o b-src_lang o b-text
